Genus 	leaf_cycle	leaf_type
Deckenia	evergreen	broadleaved 
Desmoncus	evergreen	broadleaved 
Dictyocaryum	evergreen	broadleaved 
Dictyosperma	evergreen	broadleaved 
Dioon	evergreen	needleleaved 
Dransfieldia	evergreen	broadleaved 
Drymophloeus	evergreen	broadleaved 
Dypsis	evergreen	broadleaved 
Elaeis	evergreen	broadleaved 
Eleiodoxa	evergreen	broadleaved 
Encephalartos	evergreen	needleleaved 
Ephedra	evergreen	needleleaved 
Eremospatha	evergreen	broadleaved 
Eugeissona	evergreen	broadleaved 
Euterpe	evergreen	broadleaved 
Ficus	deciduous	broadleaved 
Gaussia	evergreen	broadleaved 
Geonoma	evergreen	broadleaved 
Ginkgo	deciduous	broadleaved 
Gnetum	evergreen	broadleaved 
Guihaia	evergreen	broadleaved 
Hedyscepe	evergreen	broadleaved 
Hemithrinax	evergreen	broadleaved 
Heterospathe	evergreen	broadleaved 
Howea	evergreen	broadleaved 
Hydriastele	evergreen	broadleaved 
Hyophorbe	evergreen	broadleaved 
Hyospathe	evergreen	broadleaved 
Hyphaene	evergreen	broadleaved 
Iguanura	evergreen	broadleaved 
Iriartea	evergreen	broadleaved 
Iriartella	evergreen	broadleaved 
Itaya	evergreen	broadleaved 
Johannesteijsmannia	evergreen	broadleaved 
Juania	evergreen	broadleaved 
Jubaea	evergreen	broadleaved 
Jubaeopsis	evergreen	broadleaved 
Juniperus	evergreen	needleleaved 
Kentiopsis	evergreen	broadleaved 
Kerriodoxa	evergreen	broadleaved 
Keteleeria	evergreen	needleleaved 
Korthalsia	evergreen	broadleaved 
Laccospadix	evergreen	broadleaved 
Laccosperma	evergreen	broadleaved 
Larix	evergreen and deciduous	needleleaved 
Latania	evergreen	broadleaved 
Lemurophoenix	evergreen	broadleaved 
Leopoldinia	evergreen	broadleaved 
Lepidocaryum	evergreen	broadleaved 
Lepidorrhachis	evergreen	broadleaved 
Lepidozamia	evergreen	needleleaved 
Leucothrinax	evergreen	broadleaved 
Licuala	evergreen	broadleaved 
Linospadix	evergreen	broadleaved 
Livistona	evergreen	broadleaved 
Lodoicea	evergreen	broadleaved 
Loxococcus	evergreen	broadleaved 
Lytocaryum	evergreen	broadleaved 
Macrozamia	evergreen	needleleaved 
Manicaria	evergreen	broadleaved 
Marojejya	evergreen	broadleaved 
Masoala	evergreen	broadleaved 
Mauritia	evergreen	broadleaved 
Mauritiella	evergreen	broadleaved 
Maxburretia	evergreen	broadleaved 
Medemia	evergreen	broadleaved 
Metasequoia	evergreen	needleleaved 
Metroxylon	evergreen	broadleaved 
Microbiota	evergreen	needleleaved 
Microcycas	evergreen	needleleaved 
Myrialepis	evergreen	broadleaved 
Nannorrhops	evergreen	broadleaved 
Nenga	evergreen	broadleaved 
Neonicholsonia	evergreen	broadleaved 
Neoveitchia	evergreen	broadleaved 
Nephrosperma	evergreen	broadleaved 
Normanbya	evergreen	broadleaved 
Nothotsuga	evergreen	needleleaved 
Nypa	evergreen	broadleaved 
Oenocarpus	evergreen	broadleaved 
Oncocalamus	evergreen	broadleaved 
Oncosperma	evergreen	broadleaved 
Orania	evergreen	broadleaved 
Oraniopsis	evergreen	broadleaved 
Parajubaea	evergreen	broadleaved 
Pelagodoxa	evergreen	broadleaved 
Phoenicophorium	evergreen	broadleaved 
Phoenix	evergreen	broadleaved 
Pholidocarpus	evergreen	broadleaved 
Pholidostachys	evergreen	broadleaved 
Physokentia	evergreen	broadleaved 
Phytelephas	evergreen	broadleaved 
Picea	evergreen	needleleaved 
Pigafetta	evergreen	broadleaved 
Pinanga	evergreen	broadleaved 
Pinus	evergreen	needleleaved 
Plectocomia	evergreen	broadleaved 
Plectocomiopsis	evergreen	broadleaved 
Podocarpus	evergreen	needleleaved 
Podococcus	evergreen	broadleaved 
Pogonotium	evergreen	broadleaved 
Ponapea	evergreen	broadleaved 
Prestoea	evergreen	broadleaved 
Pritchardia	evergreen	broadleaved 
Pritchardiopsis	evergreen	broadleaved 
Pseudolarix	evergreen	needleleaved 
Pseudophoenix	evergreen	broadleaved 
Pseudotsuga	evergreen	needleleaved 
Ptychococcus	evergreen	broadleaved 
Ptychosperma	evergreen	broadleaved 
Quercus	deciduous and evergreen	broadleaved 
Raphia	evergreen	broadleaved 
Ravenea	evergreen	broadleaved 
Reinhardtia	evergreen	broadleaved 
Retispatha	evergreen	broadleaved 
Rhapidophyllum	evergreen	broadleaved 
Rhapis	evergreen	broadleaved 
Rhopaloblaste	evergreen	broadleaved 
Rhopalostylis	evergreen	broadleaved 
Roscheria	evergreen	broadleaved 
Roystonea	evergreen	broadleaved 
Sabal	evergreen	broadleaved 
Sabinaria	evergreen	broadleaved 
Salacca	evergreen	broadleaved 
Saribus	evergreen	broadleaved 
Satakentia	evergreen	broadleaved 
Satranala	evergreen	broadleaved 
Schinus	evergreen	broadleaved 
Schippia	evergreen	broadleaved 
Sciadopitus	evergreen	needleleaved 
Sclerosperma	evergreen	broadleaved 
Sequoia	evergreen	needleleaved 
Sequoiadendron	evergreen	needleleaved 
Serenoa	evergreen	broadleaved 
Socratea	evergreen	broadleaved 
Solfia	evergreen	broadleaved 
Sommieria	evergreen	broadleaved 
Syagrus	evergreen	broadleaved 
Synechanthus	evergreen	broadleaved 
Tahina	evergreen	broadleaved 
Taxodium	evergreen	needleleaved 
Taxus	evergreen	needleleaved 
Tectiphiala	evergreen	broadleaved 
Thrinax	evergreen	broadleaved 
Thuja	evergreen	needleleaved 
Thujopsis	evergreen	needleleaved 
Tilia	deciduous	broadleaved 
Torreya	evergreen	needleleaved 
Trachycarpus	evergreen	broadleaved 
Trithrinax	evergreen	broadleaved 
Tsuga	evergreen	needleleaved 
Veitchia	evergreen	broadleaved 
Verschaffeltia	evergreen	broadleaved 
Voanioala	evergreen	broadleaved 
Wallichia	evergreen	broadleaved 
Washingtonia	evergreen	broadleaved 
Welfia	evergreen	broadleaved 
Welwitschia	deciduous	broadleaved 
Wendlandiella	evergreen	broadleaved 
Wettinia	evergreen	broadleaved 
Wodyetia	evergreen	broadleaved 
Zamia	evergreen	needleleaved 
Zombia	evergreen	broadleaved 
