Genus ,leaf_cycle ,leaf_type 
Pseudotsuga ,evergreen,needleleaved 
Pterocarya ,deciduous ,broadleaved 
Pteroceltis ,deciduous ,broadleaved 
Ptychococcus ,evergreen,broadleaved 
Ptychosperma ,evergreen,broadleaved 
Quercus ,deciduous and evergreen,broadleaved 
Raphia ,evergreen,broadleaved 
Ravenea ,evergreen,broadleaved 
Reinhardtia ,evergreen,broadleaved 
Retispatha ,evergreen,broadleaved 
Rhapidophyllum ,evergreen,broadleaved 
Rhapis ,evergreen,broadleaved 
Rhododendron ,deciduous and evergreen ,broadleaved 
Rhopaloblaste ,evergreen,broadleaved 
Rhopalostylis ,evergreen,broadleaved 
Rhus,deciduous ,broadleaved 
Robinia ,deciduous ,broadleaved 
Roscheria ,evergreen,broadleaved 
Roystonea ,evergreen,broadleaved 
Sabal ,evergreen,broadleaved 
Sabinaria ,evergreen,broadleaved 
Sambucus ,deciduous ,broadleaved 
Salacca ,evergreen,broadleaved 
Salix ,deciduous ,broadleaved 
Saribus ,evergreen,broadleaved 
Satakentia ,evergreen,broadleaved 
Satranala ,evergreen,broadleaved 
Schinus ,evergreen,broadleaved 
Schippia ,evergreen,broadleaved 
Sciadopitus ,evergreen,needleleaved 
Sclerosperma ,evergreen,broadleaved 
Semiarundinaria ,deciduous ,broadleaved 
Sequoia ,evergreen,needleleaved 
Sequoiadendron ,evergreen,needleleaved 
Serenoa ,evergreen,broadleaved 
Socratea ,evergreen,broadleaved 
Solfia ,evergreen,broadleaved 
Sommieria ,evergreen,broadleaved 
Sophora ,deciduous ,broadleaved 
Sorbus ,deciduous ,broadleaved 
Sterculia ,deciduous ,broadleaved 
Styphnolobium ,deciduous ,broadleaved 
Syagrus ,evergreen,broadleaved 
Synechanthus ,evergreen,broadleaved 
Syringa ,deciduous ,broadleaved 
Tahina ,evergreen,broadleaved 
Tamarix ,deciduous and evergreen ,needleleaved 
Taxodium ,evergreen,needleleaved 
Taxus ,evergreen,needleleaved 
Tectiphiala ,evergreen,broadleaved 
Thrinax ,evergreen,broadleaved 
Thuja ,evergreen,needleleaved 
Thujopsis ,evergreen,needleleaved 
Tilia ,deciduous,broadleaved 
Torreya ,evergreen,needleleaved 
Trachycarpus ,evergreen,broadleaved 
Trithrinax ,evergreen,broadleaved 
Tsuga ,evergreen,needleleaved 
Ulmus ,deciduous ,broadleaved 
Veitchia ,evergreen,broadleaved 
Verschaffeltia ,evergreen,broadleaved 
Viburnum ,deciduous and evergreen ,broadleaved 
Voanioala ,evergreen,broadleaved 
Wallichia ,evergreen,broadleaved 
Washingtonia ,evergreen,broadleaved 
Welfia ,evergreen,broadleaved 
Welwitschia ,deciduous,broadleaved 
Wendlandiella ,evergreen,broadleaved 
Wettinia ,evergreen,broadleaved 
Wodyetia ,evergreen,broadleaved 
Xanthocyparis ,evergreen ,needleleaved 
Zamia ,evergreen,needleleaved 
Zelkova ,deciduous ,broadleaved 
Zombia ,evergreen,broadleaved 
